,station_empty_slots,station_free_bikes,station_normal_bikes,station_ebikes,station_slots,Bar_FS,EV_Charging_Station_FS,Fuel_Station_FS,Park_FS,Parking_FS,Restaurant_FS,Transport_Hub_FS,Bar_yelp,EV_Charging_Station_yelp,Fuel_Station_yelp,Park_yelp,Parking_yelp,Restaurant_yelp,Transport_Hub_yelp
140,12,4,2,2,16,18.0,0.0,4.0,8.0,0.0,50.0,5.0,15.0,0.0,5.0,4.0,0.0,50.0,5.0
141,11,5,0,5,16,14.0,0.0,7.0,9.0,0.0,50.0,2.0,16.0,0.0,6.0,7.0,0.0,50.0,3.0
142,8,4,1,3,12,6.0,0.0,5.0,12.0,0.0,50.0,1.0,6.0,0.0,6.0,7.0,0.0,50.0,1.0
143,12,5,4,1,18,4.0,0.0,4.0,8.0,0.0,45.0,2.0,2.0,0.0,3.0,6.0,0.0,50.0,0.0
144,10,6,6,0,16,15.0,0.0,3.0,6.0,0.0,50.0,4.0,10.0,0.0,5.0,3.0,0.0,50.0,3.0
145,8,6,4,2,14,11.0,0.0,4.0,10.0,0.0,34.0,4.0,7.0,0.0,2.0,9.0,0.0,50.0,42.0
146,14,2,0,2,16,24.0,0.0,6.0,13.0,1.0,50.0,4.0,26.0,0.0,5.0,9.0,0.0,50.0,42.0
147,7,7,6,1,14,5.0,0.0,4.0,12.0,1.0,43.0,6.0,2.0,0.0,3.0,7.0,0.0,50.0,43.0
148,4,12,11,1,16,15.0,0.0,4.0,6.0,0.0,47.0,6.0,8.0,0.0,5.0,2.0,0.0,50.0,4.0
149,6,10,10,0,16,21.0,0.0,3.0,10.0,2.0,45.0,21.0,25.0,0.0,6.0,5.0,0.0,50.0,13.0
150,11,5,5,0,16,30.0,0.0,3.0,13.0,2.0,50.0,21.0,28.0,0.0,3.0,12.0,1.0,50.0,10.0
151,10,6,5,1,16,22.0,0.0,5.0,10.0,2.0,50.0,9.0,24.0,0.0,6.0,8.0,0.0,50.0,13.0
152,23,15,14,1,38,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
153,10,6,6,0,16,50.0,0.0,2.0,14.0,9.0,50.0,21.0,50.0,0.0,1.0,8.0,4.0,50.0,14.0
154,3,13,13,0,16,28.0,0.0,2.0,4.0,2.0,50.0,22.0,24.0,0.0,2.0,5.0,1.0,50.0,14.0
155,9,7,7,0,16,25.0,0.0,2.0,5.0,2.0,50.0,23.0,26.0,0.0,3.0,5.0,1.0,50.0,15.0
156,17,5,1,4,22,16.0,0.0,3.0,11.0,0.0,50.0,6.0,19.0,0.0,7.0,7.0,0.0,50.0,6.0
157,13,6,3,3,20,31.0,0.0,3.0,15.0,2.0,50.0,9.0,28.0,0.0,3.0,11.0,1.0,50.0,3.0
158,12,6,5,1,18,50.0,0.0,4.0,35.0,7.0,50.0,26.0,50.0,0.0,7.0,15.0,2.0,50.0,14.0
159,13,15,15,0,28,50.0,4.0,6.0,17.0,50.0,50.0,50.0,50.0,0.0,1.0,11.0,20.0,50.0,30.0
160,10,4,4,0,14,50.0,3.0,5.0,29.0,32.0,50.0,50.0,50.0,0.0,2.0,12.0,11.0,50.0,24.0
161,9,13,13,0,22,32.0,0.0,2.0,14.0,6.0,50.0,16.0,29.0,1.0,3.0,8.0,2.0,50.0,50.0
162,6,6,6,0,12,31.0,0.0,1.0,13.0,3.0,50.0,19.0,36.0,0.0,4.0,8.0,3.0,50.0,13.0
163,9,13,11,2,22,50.0,4.0,3.0,20.0,50.0,50.0,50.0,50.0,0.0,1.0,12.0,20.0,50.0,32.0
164,7,13,12,1,20,38.0,0.0,3.0,16.0,3.0,50.0,22.0,31.0,0.0,3.0,10.0,1.0,50.0,18.0
165,2,17,17,0,20,36.0,0.0,3.0,17.0,3.0,50.0,23.0,32.0,1.0,3.0,8.0,1.0,50.0,50.0
166,8,16,14,2,24,50.0,4.0,3.0,14.0,50.0,50.0,50.0,50.0,0.0,1.0,9.0,21.0,50.0,30.0
167,11,11,9,2,22,50.0,4.0,6.0,19.0,50.0,50.0,50.0,50.0,0.0,2.0,13.0,20.0,50.0,31.0
168,10,16,15,1,26,21.0,0.0,0.0,20.0,7.0,50.0,13.0,23.0,1.0,0.0,12.0,2.0,50.0,50.0
169,6,8,7,1,14,16.0,0.0,3.0,5.0,1.0,34.0,7.0,13.0,0.0,2.0,5.0,1.0,50.0,12.0
170,15,3,3,0,18,31.0,0.0,3.0,22.0,7.0,50.0,19.0,44.0,0.0,1.0,12.0,3.0,50.0,4.0
171,12,22,22,0,35,35.0,0.0,4.0,29.0,5.0,50.0,21.0,50.0,0.0,4.0,13.0,1.0,50.0,6.0
172,6,16,15,1,22,26.0,0.0,4.0,23.0,3.0,48.0,12.0,44.0,0.0,2.0,11.0,3.0,50.0,4.0
173,1,20,18,2,22,24.0,0.0,1.0,24.0,2.0,49.0,4.0,29.0,0.0,2.0,12.0,2.0,50.0,5.0
